REF_CLOSING_DESCRIPTION,ENTITY_DESCRIPTION_SHORT,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE
,PortAventura World,PARK,2022-07-23 09:30:00.000,2022-07-23 23:00:00.000,2022-07-24 07:52:26.000,2022-07-23
,Tivoli Gardens,PARK,2019-06-24 08:30:00.000,2019-06-24 09:30:00.000,2019-06-25 07:44:39.000,2019-06-24
,PortAventura World,PARK,2018-04-24 08:30:00.000,2018-04-24 09:30:00.000,2018-04-25 09:47:50.000,2018-04-24
,PortAventura World,PARK,2018-12-07 10:00:00.000,2018-12-07 19:00:00.000,2018-12-08 08:31:42.000,2018-12-07
,Tivoli Gardens,PARK,2019-10-04 10:00:00.000,2019-10-04 18:00:00.000,2019-10-05 07:38:52.000,2019-10-04
,Tivoli Gardens,PARK,2022-04-28 08:30:00.000,2022-04-28 09:30:00.000,2022-04-29 07:56:32.000,2022-04-28
,PortAventura World,PARK,2020-01-30 10:00:00.000,2020-01-30 18:30:00.000,2020-01-31 07:57:55.000,2020-01-30
,Tivoli Gardens,PARK,2019-05-24 10:00:00.000,2019-05-24 19:00:00.000,2019-05-25 07:37:14.000,2019-05-24
,Tivoli Gardens,PARK,2022-05-05 08:30:00.000,2022-05-05 09:30:00.000,2022-05-06 08:18:30.000,2022-05-05
,Tivoli Gardens,PARK,2018-10-18 10:00:00.000,2018-10-18 18:00:00.000,2018-10-19 07:35:41.000,2018-10-18
,PortAventura World,PARK,2018-06-12 08:30:00.000,2018-06-12 09:30:00.000,2018-06-13 07:49:55.000,2018-06-12
,Tivoli Gardens,PARK,2019-10-12 08:30:00.000,2019-10-12 09:30:00.000,2019-10-13 07:44:25.000,2019-10-12
,PortAventura World,PARK,2022-04-16 08:30:00.000,2022-04-16 09:30:00.000,2022-04-17 07:58:52.000,2022-04-16
,Tivoli Gardens,PARK,2018-02-09 08:30:00.000,2018-02-09 09:30:00.000,2018-02-10 08:21:57.000,2018-02-09
,Tivoli Gardens,PARK,2020-02-12 08:30:00.000,2020-02-12 09:30:00.000,2020-02-13 07:49:26.000,2020-02-12
,PortAventura World,PARK,2018-03-01 10:00:00.000,2018-03-01 20:00:00.000,2018-03-02 08:54:30.000,2018-03-01
,PortAventura World,PARK,2018-08-19 08:30:00.000,2018-08-19 09:30:00.000,2018-08-20 08:22:59.000,2018-08-19
,Tivoli Gardens,PARK,2018-12-29 08:00:00.000,2018-12-29 09:00:00.000,2018-12-30 07:31:57.000,2018-12-29
,Tivoli Gardens,PARK,2018-12-16 09:00:00.000,2018-12-16 20:00:00.000,2018-12-17 07:13:21.000,2018-12-16
,PortAventura World,PARK,2018-02-22 10:00:00.000,2018-02-22 20:00:00.000,2018-02-23 08:51:32.000,2018-02-22
,PortAventura World,PARK,2019-10-14 08:30:00.000,2019-10-14 09:30:00.000,2019-10-15 07:41:25.000,2019-10-14
,Tivoli Gardens,PARK,2022-08-01 00:00:00.000,2022-08-01 00:00:00.000,2022-08-02 07:50:45.000,2022-08-01
,PortAventura World,PARK,2019-12-04 08:30:00.000,2019-12-04 09:30:00.000,2019-12-05 08:14:36.000,2019-12-04
,PortAventura World,PARK,2022-04-13 09:30:00.000,2022-04-13 23:00:00.000,2022-04-14 07:57:40.000,2022-04-13
,PortAventura World,PARK,2018-03-13 10:00:00.000,2018-03-13 20:00:00.000,2018-03-14 08:15:24.000,2018-03-13
,PortAventura World,PARK,2022-06-04 09:30:00.000,2022-06-04 23:00:00.000,2022-06-05 08:22:19.000,2022-06-04
,PortAventura World,PARK,2020-01-04 08:00:00.000,2020-01-04 09:00:00.000,2020-01-05 07:53:00.000,2020-01-04
,PortAventura World,PARK,2022-04-08 09:30:00.000,2022-04-08 23:00:00.000,2022-04-09 08:24:01.000,2022-04-08
,Tivoli Gardens,PARK,2019-09-03 08:30:00.000,2019-09-03 09:30:00.000,2019-09-04 08:31:55.000,2019-09-03
,Tivoli Gardens,PARK,2018-06-20 10:00:00.000,2018-06-20 19:00:00.000,2018-06-21 07:44:57.000,2018-06-20
,PortAventura World,PARK,2019-04-11 10:00:00.000,2019-04-11 22:00:00.000,2019-04-12 08:59:39.000,2019-04-11
,PortAventura World,PARK,2018-08-15 08:30:00.000,2018-08-15 09:30:00.000,2018-08-16 07:41:48.000,2018-08-15
,PortAventura World,PARK,2018-04-08 10:00:00.000,2018-04-08 22:00:00.000,2018-04-09 07:40:25.000,2018-04-08
,Tivoli Gardens,PARK,2018-04-14 08:30:00.000,2018-04-14 09:30:00.000,2018-04-15 08:58:41.000,2018-04-14
,Tivoli Gardens,PARK,2019-06-22 08:30:00.000,2019-06-22 09:30:00.000,2019-06-23 09:11:40.000,2019-06-22
,Tivoli Gardens,PARK,2018-10-06 10:00:00.000,2018-10-06 19:00:00.000,2018-10-07 08:23:29.000,2018-10-06
,Tivoli Gardens,PARK,2018-01-14 08:30:00.000,2018-01-14 09:30:00.000,2018-01-15 08:49:37.000,2018-01-14
,PortAventura World,PARK,2019-05-11 10:00:00.000,2019-05-11 22:30:00.000,2019-05-12 07:38:27.000,2019-05-11
,PortAventura World,PARK,2018-02-05 08:30:00.000,2018-02-05 09:30:00.000,2018-02-06 07:47:34.000,2018-02-05
,PortAventura World,PARK,2019-04-22 08:30:00.000,2019-04-22 09:30:00.000,2019-04-23 07:23:41.000,2019-04-22
,PortAventura World,PARK,2022-07-15 09:30:00.000,2022-07-15 23:00:00.000,2022-07-16 08:11:30.000,2022-07-15
,Tivoli Gardens,PARK,2018-07-28 08:30:00.000,2018-07-28 09:30:00.000,2018-07-29 07:42:57.000,2018-07-28
,Tivoli Gardens,PARK,2018-08-23 10:00:00.000,2018-08-23 20:00:00.000,2018-08-24 08:47:40.000,2018-08-23
,PortAventura World,PARK,2019-11-28 08:30:00.000,2019-11-28 09:30:00.000,2019-11-29 07:37:53.000,2019-11-28
,PortAventura World,PARK,2022-07-28 09:30:00.000,2022-07-28 23:00:00.000,2022-07-29 10:21:57.000,2022-07-28
,PortAventura World,PARK,2018-06-01 08:30:00.000,2018-06-01 09:30:00.000,2018-06-02 08:08:42.000,2018-06-01
,PortAventura World,PARK,2018-07-17 10:00:00.000,2018-07-17 23:00:00.000,2018-07-18 07:48:41.000,2018-07-17
,PortAventura World,PARK,2019-08-02 08:30:00.000,2019-08-02 09:30:00.000,2019-08-03 07:53:58.000,2019-08-02
,Tivoli Gardens,PARK,2018-10-29 10:00:00.000,2018-10-29 20:00:00.000,2018-10-30 08:31:29.000,2018-10-29
,PortAventura World,PARK,2022-04-14 09:30:00.000,2022-04-14 23:00:00.000,2022-04-15 07:57:55.000,2022-04-14
,PortAventura World,PARK,2019-02-15 10:00:00.000,2019-02-15 19:00:00.000,2019-02-16 08:48:05.000,2019-02-15
,Tivoli Gardens,PARK,2018-10-08 10:00:00.000,2018-10-08 18:00:00.000,2018-10-09 08:45:18.000,2018-10-08
,PortAventura World,PARK,2019-07-30 10:00:00.000,2019-07-30 23:00:00.000,2019-07-31 07:37:13.000,2019-07-30
,Tivoli Gardens,PARK,2018-10-27 08:30:00.000,2018-10-27 09:30:00.000,2018-10-28 08:16:27.000,2018-10-27
,PortAventura World,PARK,2018-02-02 10:00:00.000,2018-02-02 19:00:00.000,2018-02-03 08:51:47.000,2018-02-02
,PortAventura World,PARK,2019-06-28 08:30:00.000,2019-06-28 09:30:00.000,2019-06-29 07:47:18.000,2019-06-28
,Tivoli Gardens,PARK,2022-06-17 08:30:00.000,2022-06-17 09:30:00.000,2022-06-18 08:21:16.000,2022-06-17
,PortAventura World,PARK,2019-12-15 08:00:00.000,2019-12-15 09:00:00.000,2019-12-16 07:57:46.000,2019-12-15
,Tivoli Gardens,PARK,2018-07-27 08:30:00.000,2018-07-27 09:30:00.000,2018-07-28 08:32:58.000,2018-07-27
,Tivoli Gardens,PARK,2020-01-20 10:00:00.000,2020-01-20 18:30:00.000,2020-01-21 07:38:16.000,2020-01-20
,Tivoli Gardens,PARK,2018-04-16 10:00:00.000,2018-04-16 19:00:00.000,2018-04-17 08:46:59.000,2018-04-16
,PortAventura World,PARK,2018-12-08 08:00:00.000,2018-12-08 09:00:00.000,2018-12-09 09:20:46.000,2018-12-08
,PortAventura World,PARK,2019-01-11 08:30:00.000,2019-01-11 09:30:00.000,2019-01-12 08:03:55.000,2019-01-11
,PortAventura World,PARK,2019-05-02 10:00:00.000,2019-05-02 22:00:00.000,2019-06-05 09:12:27.000,2019-05-02
,Tivoli Gardens,PARK,2018-11-30 08:30:00.000,2018-11-30 09:30:00.000,2018-12-01 08:34:35.000,2018-11-30
,Tivoli Gardens,PARK,2019-04-10 10:00:00.000,2019-04-10 20:00:00.000,2019-04-11 07:41:11.000,2019-04-10
,PortAventura World,PARK,2018-11-30 10:00:00.000,2018-11-30 19:00:00.000,2018-12-01 08:34:34.000,2018-11-30
,Tivoli Gardens,PARK,2018-08-22 10:00:00.000,2018-08-22 20:00:00.000,2018-08-23 07:42:27.000,2018-08-22
,Tivoli Gardens,PARK,2019-04-30 08:30:00.000,2019-04-30 09:30:00.000,2019-05-01 07:40:47.000,2019-04-30
,Tivoli Gardens,PARK,2018-10-25 08:30:00.000,2018-10-25 09:30:00.000,2018-10-26 08:54:02.000,2018-10-25
,Tivoli Gardens,PARK,2018-12-03 10:00:00.000,2018-12-03 18:00:00.000,2018-12-04 07:40:39.000,2018-12-03
,PortAventura World,PARK,2019-03-18 08:30:00.000,2019-03-18 09:30:00.000,2019-03-19 07:46:33.000,2019-03-18
,Tivoli Gardens,PARK,2019-03-01 10:00:00.000,2019-03-01 19:30:00.000,2019-03-02 07:54:38.000,2019-03-01
,Tivoli Gardens,PARK,2018-03-02 08:30:00.000,2018-03-02 09:30:00.000,2018-03-03 08:08:54.000,2018-03-02
,PortAventura World,PARK,2019-04-18 10:00:00.000,2019-04-18 22:00:00.000,2019-04-19 08:06:21.000,2019-04-18
,PortAventura World,PARK,2018-01-17 08:30:00.000,2018-01-17 09:30:00.000,2018-01-18 08:00:10.000,2018-01-17
,Tivoli Gardens,PARK,2022-04-24 08:30:00.000,2022-04-24 09:30:00.000,2022-04-25 08:19:18.000,2022-04-24
,Tivoli Gardens,PARK,2019-01-28 10:00:00.000,2019-01-28 18:30:00.000,2019-01-29 07:54:13.000,2019-01-28
,PortAventura World,PARK,2018-04-01 10:00:00.000,2018-04-01 22:00:00.000,2018-04-02 07:57:06.000,2018-04-01
,Tivoli Gardens,PARK,2020-01-19 08:30:00.000,2020-01-19 09:30:00.000,2020-01-20 07:43:16.000,2020-01-19
,Tivoli Gardens,PARK,2018-07-30 10:00:00.000,2018-07-30 20:00:00.000,2018-07-31 09:01:04.000,2018-07-30
,Tivoli Gardens,PARK,2019-08-25 08:30:00.000,2019-08-25 09:30:00.000,2019-08-26 07:49:08.000,2019-08-25
,PortAventura World,PARK,2018-03-22 10:00:00.000,2018-03-22 20:30:00.000,2018-03-23 08:39:28.000,2018-03-22
,Tivoli Gardens,PARK,2018-09-09 08:30:00.000,2018-09-09 09:30:00.000,2018-09-10 09:32:48.000,2018-09-09
,Tivoli Gardens,PARK,2018-04-23 10:00:00.000,2018-04-23 19:00:00.000,2018-04-24 08:15:14.000,2018-04-23
,PortAventura World,PARK,2018-12-24 09:00:00.000,2018-12-24 22:00:00.000,2018-12-25 07:48:10.000,2018-12-24
,PortAventura World,PARK,2019-11-15 08:30:00.000,2019-11-15 09:30:00.000,2019-11-16 08:22:03.000,2019-11-15
,Tivoli Gardens,PARK,2019-03-26 10:00:00.000,2019-03-26 18:00:00.000,2019-03-27 07:49:50.000,2019-03-26
,Tivoli Gardens,PARK,2022-07-12 08:30:00.000,2022-07-12 09:30:00.000,2022-07-13 07:51:40.000,2022-07-12
,Tivoli Gardens,PARK,2019-07-23 10:00:00.000,2019-07-23 20:00:00.000,2019-07-24 09:15:33.000,2019-07-23
,PortAventura World,PARK,2018-03-23 10:00:00.000,2018-03-23 20:30:00.000,2018-03-24 09:00:25.000,2018-03-23
,Tivoli Gardens,PARK,2020-02-10 10:00:00.000,2020-02-10 19:00:00.000,2020-02-11 08:08:10.000,2020-02-10
,Tivoli Gardens,PARK,2018-08-10 10:00:00.000,2018-08-10 20:00:00.000,2018-08-11 08:33:08.000,2018-08-10
,Tivoli Gardens,PARK,2019-04-13 10:00:00.000,2019-04-13 20:00:00.000,2019-04-14 08:51:36.000,2019-04-13
,PortAventura World,PARK,2019-05-25 08:30:00.000,2019-05-25 09:30:00.000,2019-05-26 07:49:52.000,2019-05-25
,PortAventura World,PARK,2022-07-09 09:30:00.000,2022-07-09 23:00:00.000,2022-07-10 07:45:55.000,2022-07-09
,Tivoli Gardens,PARK,2018-11-03 08:30:00.000,2018-11-03 09:30:00.000,2018-11-04 08:07:46.000,2018-11-03
,Tivoli Gardens,PARK,2018-01-19 08:30:00.000,2018-01-19 09:30:00.000,2018-01-20 09:00:21.000,2018-01-19
,PortAventura World,PARK,2019-12-29 09:00:00.000,2019-12-29 22:00:00.000,2019-12-30 07:04:01.000,2019-12-29
,Tivoli Gardens,PARK,2019-07-28 10:00:00.000,2019-07-28 20:00:00.000,2019-07-29 07:54:25.000,2019-07-28
,PortAventura World,PARK,2019-03-04 08:30:00.000,2019-03-04 09:30:00.000,2019-03-05 07:48:17.000,2019-03-04
,Tivoli Gardens,PARK,2019-01-04 09:00:00.000,2019-01-04 20:00:00.000,2019-01-05 08:10:13.000,2019-01-04
,Tivoli Gardens,PARK,2019-07-29 08:30:00.000,2019-07-29 09:30:00.000,2019-07-30 07:37:48.000,2019-07-29
,Tivoli Gardens,PARK,2019-12-31 08:00:00.000,2019-12-31 09:00:00.000,2020-01-01 08:06:38.000,2019-12-31
,Tivoli Gardens,PARK,2018-10-02 08:30:00.000,2018-10-02 09:30:00.000,2018-10-03 07:48:39.000,2018-10-02
,PortAventura World,PARK,2018-12-13 08:30:00.000,2018-12-13 09:30:00.000,2018-12-14 07:57:34.000,2018-12-13
,Tivoli Gardens,PARK,2022-04-26 08:30:00.000,2022-04-26 09:30:00.000,2022-04-27 09:06:06.000,2022-04-26
,Tivoli Gardens,PARK,2019-03-22 10:00:00.000,2019-03-22 18:00:00.000,2019-03-23 08:09:58.000,2019-03-22
,PortAventura World,PARK,2019-01-20 08:30:00.000,2019-01-20 09:30:00.000,2019-01-21 07:22:17.000,2019-01-20
,Tivoli Gardens,PARK,2018-07-02 08:30:00.000,2018-07-02 09:30:00.000,2018-07-03 07:48:06.000,2018-07-02
,PortAventura World,PARK,2022-08-08 08:30:00.000,2022-08-08 09:30:00.000,2022-08-09 07:26:18.000,2022-08-08
,PortAventura World,PARK,2019-09-21 10:00:00.000,2019-09-21 22:00:00.000,2019-09-22 07:21:45.000,2019-09-21
,PortAventura World,PARK,2019-05-13 08:30:00.000,2019-05-13 09:30:00.000,2019-05-14 07:41:28.000,2019-05-13
,Tivoli Gardens,PARK,2019-07-03 08:30:00.000,2019-07-03 09:30:00.000,2019-07-04 07:45:48.000,2019-07-03
,PortAventura World,PARK,2019-07-18 10:00:00.000,2019-07-18 23:00:00.000,2019-07-19 08:38:39.000,2019-07-18
,PortAventura World,PARK,2022-04-27 08:30:00.000,2022-04-27 09:30:00.000,2022-04-28 08:08:53.000,2022-04-27
,PortAventura World,PARK,2018-03-16 08:30:00.000,2018-03-16 09:30:00.000,2018-03-17 08:14:21.000,2018-03-16
,Tivoli Gardens,PARK,2019-07-17 10:00:00.000,2019-07-17 20:00:00.000,2019-07-18 07:40:12.000,2019-07-17
,Tivoli Gardens,PARK,2018-05-31 08:30:00.000,2018-05-31 09:30:00.000,2018-06-01 09:38:36.000,2018-05-31
,PortAventura World,PARK,2019-08-19 10:00:00.000,2019-08-19 23:00:00.000,2019-08-20 07:49:11.000,2019-08-19
,PortAventura World,PARK,2019-05-01 10:00:00.000,2019-05-01 22:00:00.000,2019-05-02 07:41:24.000,2019-05-01
,Tivoli Gardens,PARK,2018-09-13 10:00:00.000,2018-09-13 18:00:00.000,2018-09-14 07:51:49.000,2018-09-13
,Tivoli Gardens,PARK,2020-01-03 09:00:00.000,2020-01-03 20:00:00.000,2020-01-04 08:10:29.000,2020-01-03
,PortAventura World,PARK,2019-10-21 10:00:00.000,2019-10-21 22:00:00.000,2019-10-22 08:03:14.000,2019-10-21
,PortAventura World,PARK,2019-01-31 10:00:00.000,2019-01-31 18:30:00.000,2019-02-01 08:50:12.000,2019-01-31
,Tivoli Gardens,PARK,2020-01-30 08:30:00.000,2020-01-30 09:30:00.000,2020-01-31 07:57:55.000,2020-01-30
,Tivoli Gardens,PARK,2018-01-22 10:00:00.000,2018-01-22 19:00:00.000,2018-01-23 09:02:03.000,2018-01-22
,PortAventura World,PARK,2019-04-07 10:00:00.000,2019-04-07 22:00:00.000,2019-04-08 07:40:07.000,2019-04-07
,Tivoli Gardens,PARK,2019-08-11 08:30:00.000,2019-08-11 09:30:00.000,2019-08-12 08:06:22.000,2019-08-11
,Tivoli Gardens,PARK,2020-02-18 08:30:00.000,2020-02-18 09:30:00.000,2020-02-19 07:38:59.000,2020-02-18
,PortAventura World,PARK,2018-05-18 10:00:00.000,2018-05-18 22:30:00.000,2018-05-19 07:47:07.000,2018-05-18
,Tivoli Gardens,PARK,2018-08-27 10:00:00.000,2018-08-27 20:00:00.000,2018-08-28 07:45:23.000,2018-08-27
,PortAventura World,PARK,2019-10-26 08:30:00.000,2019-10-26 09:30:00.000,2019-10-27 08:26:45.000,2019-10-26
,Tivoli Gardens,PARK,2019-08-28 08:30:00.000,2019-08-28 09:30:00.000,2019-08-29 09:04:13.000,2019-08-28
,PortAventura World,PARK,2019-04-20 10:00:00.000,2019-04-20 22:00:00.000,2019-04-21 07:55:30.000,2019-04-20
,PortAventura World,PARK,2019-07-26 08:30:00.000,2019-07-26 09:30:00.000,2019-07-27 08:39:52.000,2019-07-26
,PortAventura World,PARK,2019-04-14 08:30:00.000,2019-04-14 09:30:00.000,2019-04-15 07:42:19.000,2019-04-14
,Tivoli Gardens,PARK,2019-11-11 08:30:00.000,2019-11-11 09:30:00.000,2019-11-12 07:18:49.000,2019-11-11
,Tivoli Gardens,PARK,2019-06-08 10:00:00.000,2019-06-08 20:00:00.000,2019-06-09 07:42:49.000,2019-06-08
,Tivoli Gardens,PARK,2018-09-07 10:00:00.000,2018-09-07 18:00:00.000,2018-09-08 08:23:35.000,2018-09-07
,Tivoli Gardens,PARK,2019-03-07 08:30:00.000,2019-03-07 09:30:00.000,2019-03-08 07:42:20.000,2019-03-07
,Tivoli Gardens,PARK,2019-07-26 08:30:00.000,2019-07-26 09:30:00.000,2019-07-27 08:39:53.000,2019-07-26
,PortAventura World,PARK,2019-05-23 10:00:00.000,2019-05-23 23:00:00.000,2019-05-24 07:43:41.000,2019-05-23
,PortAventura World,PARK,2018-12-25 09:00:00.000,2018-12-25 22:00:00.000,2018-12-26 07:53:33.000,2018-12-25
,Tivoli Gardens,PARK,2019-08-24 08:30:00.000,2019-08-24 09:30:00.000,2019-08-25 08:21:12.000,2019-08-24
,Tivoli Gardens,PARK,2018-10-04 10:00:00.000,2018-10-04 18:00:00.000,2018-10-05 07:43:43.000,2018-10-04
,Tivoli Gardens,PARK,2018-01-19 10:00:00.000,2018-01-19 19:00:00.000,2018-01-20 09:00:21.000,2018-01-19
,Tivoli Gardens,PARK,2019-05-07 10:00:00.000,2019-05-07 19:00:00.000,2019-05-08 07:45:55.000,2019-05-07
,PortAventura World,PARK,2019-02-09 10:00:00.000,2019-02-09 20:00:00.000,2019-02-10 07:44:32.000,2019-02-09
,Tivoli Gardens,PARK,2018-10-06 08:30:00.000,2018-10-06 09:30:00.000,2018-10-07 08:23:29.000,2018-10-06
,PortAventura World,PARK,2019-09-11 10:00:00.000,2019-09-11 21:00:00.000,2019-09-12 09:09:13.000,2019-09-11
,Tivoli Gardens,PARK,2018-06-13 08:30:00.000,2018-06-13 09:30:00.000,2018-06-14 07:33:52.000,2018-06-13
,PortAventura World,PARK,2019-02-25 10:00:00.000,2019-02-25 19:30:00.000,2019-02-26 07:36:49.000,2019-02-25
,PortAventura World,PARK,2019-06-01 10:00:00.000,2019-06-01 23:00:00.000,2019-06-02 07:54:27.000,2019-06-01
,Tivoli Gardens,PARK,2018-05-24 10:00:00.000,2018-05-24 19:00:00.000,2018-05-25 07:45:23.000,2018-05-24
,PortAventura World,PARK,2022-05-15 09:30:00.000,2022-05-15 23:00:00.000,2022-05-16 07:56:26.000,2022-05-15
,Tivoli Gardens,PARK,2018-09-11 08:30:00.000,2018-09-11 09:30:00.000,2018-09-12 08:18:54.000,2018-09-11
,PortAventura World,PARK,2020-02-02 08:30:00.000,2020-02-02 09:30:00.000,2020-02-03 07:25:45.000,2020-02-02
,Tivoli Gardens,PARK,2022-06-15 09:30:00.000,2022-06-15 19:00:00.000,2022-06-16 08:09:53.000,2022-06-15
,PortAventura World,PARK,2022-08-14 08:30:00.000,2022-08-14 09:30:00.000,2022-08-15 07:20:59.000,2022-08-14
,Tivoli Gardens,PARK,2019-07-13 08:30:00.000,2019-07-13 09:30:00.000,2019-07-14 07:18:39.000,2019-07-13
,PortAventura World,PARK,2018-12-02 08:00:00.000,2018-12-02 09:00:00.000,2018-12-03 07:48:08.000,2018-12-02
,Tivoli Gardens,PARK,2019-12-10 08:30:00.000,2019-12-10 09:30:00.000,2019-12-11 07:42:09.000,2019-12-10
,PortAventura World,PARK,2022-06-17 08:30:00.000,2022-06-17 09:30:00.000,2022-06-18 08:21:14.000,2022-06-17
,PortAventura World,PARK,2022-07-05 08:30:00.000,2022-07-05 09:30:00.000,2022-07-06 10:51:23.000,2022-07-05
,Tivoli Gardens,PARK,2019-11-22 10:00:00.000,2019-11-22 18:00:00.000,2019-11-23 08:19:18.000,2019-11-22
,PortAventura World,PARK,2019-05-24 08:30:00.000,2019-05-24 09:30:00.000,2019-05-25 07:37:13.000,2019-05-24
,Tivoli Gardens,PARK,2018-08-17 10:00:00.000,2018-08-17 20:00:00.000,2018-08-18 07:53:38.000,2018-08-17
,Tivoli Gardens,PARK,2022-06-09 08:30:00.000,2022-06-09 09:30:00.000,2022-06-10 08:26:57.000,2022-06-09
,Tivoli Gardens,PARK,2019-07-27 10:00:00.000,2019-07-27 20:00:00.000,2019-07-28 08:08:44.000,2019-07-27
,Tivoli Gardens,PARK,2020-01-12 08:30:00.000,2020-01-12 09:30:00.000,2020-01-13 07:52:03.000,2020-01-12
,Tivoli Gardens,PARK,2022-05-31 09:30:00.000,2022-05-31 20:00:00.000,2022-06-01 10:36:14.000,2022-05-31
,Tivoli Gardens,PARK,2018-05-31 10:00:00.000,2018-05-31 19:00:00.000,2018-06-01 09:38:36.000,2018-05-31
